Filename,readtime,filesize,format,pointcount,filesizeMB
H4_R0_1001,48.95183372,16956992,SerializedBinary,1059810,16.17144775
H4_R0_1002,19.00908279,16993472,SerializedBinary,1062090,16.20623779
H4_R0_1003,20.0190239,16967456,SerializedBinary,1060464,16.181427
H4_R0_1004,20.0011425,16987408,SerializedBinary,1061711,16.20045471
H4_R0_1005,20.94194221,16974976,SerializedBinary,1060934,16.18859863
H4_R0_1006,20.02903748,16983280,SerializedBinary,1061453,16.19651794
H4_R0_1007,19.99923515,16974928,SerializedBinary,1060931,16.18855286
H4_R0_1008,21.02038193,16985568,SerializedBinary,1061596,16.19869995
H4_R0_1009,18.99382401,16968624,SerializedBinary,1060537,16.18254089
H4_R0_1010,18.99954605,16947264,SerializedBinary,1059202,16.16217041
H4_R0_1011,18.9783268,16983648,SerializedBinary,1061476,16.1968689
H4_R0_1012,19.01766586,16954960,SerializedBinary,1059683,16.16950989
H4_R0_1013,19.02648735,16975312,SerializedBinary,1060955,16.18891907
H4_R0_1014,18.9552002,16959792,SerializedBinary,1059985,16.17411804
H4_R0_1015,19.00216866,16963472,SerializedBinary,1060215,16.17762756
H4_R0_1016,18.9475708,16972752,SerializedBinary,1060795,16.18647766
H4_R0_1017,18.96497536,16965904,SerializedBinary,1060367,16.1799469
H4_R0_1018,18.00915527,16978080,SerializedBinary,1061128,16.19155884
H4_R0_1019,18.01606941,16978368,SerializedBinary,1061146,16.1918335
H4_R0_1020,18.9706974,16974624,SerializedBinary,1060912,16.18826294
H4_R0_1021,18.99525452,16970816,SerializedBinary,1060674,16.18463135
H4_R0_1022,18.0043869,16990496,SerializedBinary,1061904,16.20339966
H4_R0_1023,19.01671219,16982880,SerializedBinary,1061428,16.19613647
H4_R0_1024,20.02116966,16976320,SerializedBinary,1061018,16.18988037
H4_R0_1025,19.21197701,16998944,SerializedBinary,1062432,16.2114563
H4_R0_1026,18.91395378,16974192,SerializedBinary,1060885,16.18785095
H4_R0_1027,17.93977547,16967120,SerializedBinary,1060443,16.18110657
H4_R0_1028,18.99787712,16976128,SerializedBinary,1061006,16.18969727
H4_R0_1029,18.0184536,16966240,SerializedBinary,1060388,16.18026733
H4_R0_1030,18.93708038,16967424,SerializedBinary,1060462,16.18139648
H4_R0_1031,19.04269981,16975072,SerializedBinary,1060940,16.18869019
H4_R0_1032,17.9710083,16972000,SerializedBinary,1060748,16.1857605
H4_R0_1033,19.51643753,16978176,SerializedBinary,1061134,16.19165039
H4_R0_1034,19.0488987,16945328,SerializedBinary,1059081,16.1603241
H4_R0_1035,17.96576309,16979216,SerializedBinary,1061199,16.19264221
H4_R0_1036,18.97141266,16974288,SerializedBinary,1060891,16.1879425
H4_R0_1037,18.02036095,16974464,SerializedBinary,1060902,16.18811035
H4_R0_1038,18.96521378,16990496,SerializedBinary,1061904,16.20339966
H4_R0_1039,18.99620819,16994544,SerializedBinary,1062157,16.20726013
H4_R0_1040,18.04873276,16991776,SerializedBinary,1061984,16.20462036
H4_R0_1041,18.98786354,16979888,SerializedBinary,1061241,16.19328308
H4_R0_1042,18.03752708,16976016,SerializedBinary,1060999,16.18959045
H4_R0_1043,20.03046799,16975776,SerializedBinary,1060984,16.18936157
H4_R0_1044,21.95545959,16989472,SerializedBinary,1061840,16.2024231
H4_R0_1045,21.91588211,16974384,SerializedBinary,1060897,16.18803406
H4_R0_1046,22.03699875,16991856,SerializedBinary,1061989,16.20469666
H4_R0_1047,23.04336357,16977904,SerializedBinary,1061117,16.19139099
H4_R0_1048,22.97684479,16981024,SerializedBinary,1061312,16.19436646
H4_R0_1049,22.01363373,16970192,SerializedBinary,1060635,16.18403625
H4_R0_1050,22.00099754,16990496,SerializedBinary,1061904,16.20339966
H4_R0_1051,22.02007103,16983824,SerializedBinary,1061487,16.19703674
H4_R0_1052,22.01101112,16981792,SerializedBinary,1061360,16.19509888
H4_R0_1053,20.12917328,16993632,SerializedBinary,1062100,16.20639038
H4_R0_1054,18.92325211,17003072,SerializedBinary,1062690,16.21539307
H4_R0_1055,19.93414688,16968080,SerializedBinary,1060503,16.18202209
H4_R0_1056,21.99241447,16975408,SerializedBinary,1060961,16.18901062
H4_R0_1057,19.93724632,16994656,SerializedBinary,1062164,16.20736694
H4_R0_1058,19.95465088,16980960,SerializedBinary,1061308,16.19430542
H4_R0_1059,19.00884438,16980672,SerializedBinary,1061290,16.19403076
H4_R0_1060,19.96013451,16975120,SerializedBinary,1060943,16.18873596
H4_R0_1061,19.98683739,16985264,SerializedBinary,1061577,16.19841003
H4_R0_1062,19.99565887,16961392,SerializedBinary,1060085,16.17564392
H4_R0_1063,19.03125572,16969152,SerializedBinary,1060570,16.18304443
H4_R0_1064,17.94001389,16961984,SerializedBinary,1060122,16.1762085
H4_R0_1065,18.99692345,16959920,SerializedBinary,1059993,16.17424011
H4_R0_1066,18.99072456,16970112,SerializedBinary,1060630,16.18395996
H4_R0_1067,18.9411335,16971904,SerializedBinary,1060742,16.18566895
H4_R0_1068,19.93414688,16971680,SerializedBinary,1060728,16.18545532
H4_R0_1069,18.94017982,16967840,SerializedBinary,1060488,16.18179321
H4_R0_1070,19.00193024,16969536,SerializedBinary,1060594,16.18341064
H4_R0_1071,18.99954605,16971792,SerializedBinary,1060735,16.18556213
H4_R0_1072,19.96204185,16979632,SerializedBinary,1061225,16.19303894
H4_R0_1073,19.99494362,16988304,SerializedBinary,1061767,16.2013092
H4_R0_1074,20.4810791,16986656,SerializedBinary,1061664,16.19973755
H4_R0_1075,19.02934837,16979184,SerializedBinary,1061197,16.19261169
H4_R0_1076,17.99771118,16985648,SerializedBinary,1061601,16.19877625
H4_R0_1077,19.04722977,16982080,SerializedBinary,1061378,16.19537354
H4_R0_1078,18.96187592,16980672,SerializedBinary,1061290,16.19403076
H4_R0_1079,19.0322094,16985664,SerializedBinary,1061602,16.1987915
H4_R0_1080,20.00519562,17006640,SerializedBinary,1062913,16.21879578
H4_R0_1081,20.02975273,16994624,SerializedBinary,1062162,16.20733643
H4_R0_1082,20.01807022,16999536,SerializedBinary,1062469,16.21202087
H4_R0_1083,18.49028397,17006096,SerializedBinary,1062879,16.21827698
H4_R0_1084,19.06344223,16992880,SerializedBinary,1062053,16.20567322
H4_R0_1085,18.98023415,17008912,SerializedBinary,1063055,16.22096252
H4_R0_1086,19.00455284,17013744,SerializedBinary,1063357,16.22557068
H4_R0_1087,20.01115608,17019056,SerializedBinary,1063689,16.2306366
H4_R0_1088,21.02038193,17010496,SerializedBinary,1063154,16.22247314
H4_R0_1089,19.93367004,17013344,SerializedBinary,1063332,16.22518921
H4_R0_1090,19.00049973,17028672,SerializedBinary,1064290,16.23980713
H4_R0_1091,20.96196938,17012192,SerializedBinary,1063260,16.22409058
H4_R0_1092,19.97873116,17030080,SerializedBinary,1064378,16.2411499
H4_R0_1093,19.99637413,17047296,SerializedBinary,1065454,16.25756836
H4_R0_1094,20.02116966,17056160,SerializedBinary,1066008,16.26602173
H4_R0_1095,19.08132362,17089312,SerializedBinary,1068080,16.29763794
H4_R0_1096,19.02910995,17016448,SerializedBinary,1063526,16.22814941
H4_R0_1097,19.06225014,16979008,SerializedBinary,1061186,16.19244385
H4_R0_1098,18.50053596,16979968,SerializedBinary,1061246,16.19335938
H4_R0_1099,19.03316307,16977312,SerializedBinary,1061080,16.19082642
H4_R0_1100,19.99899673,16979168,SerializedBinary,1061196,16.19259644
H4_R0_1101,20.16755867,17032880,SerializedBinary,1064553,16.24382019
H4_R0_1102,19.93724632,17074304,SerializedBinary,1067142,16.2833252
H4_R0_1103,19.98135376,17102288,SerializedBinary,1068891,16.31001282
H4_R0_1104,19.9215107,17141136,SerializedBinary,1071319,16.34706116
H4_R0_1105,18.99835396,17120384,SerializedBinary,1070022,16.32727051
H4_R0_1106,19.99494362,17160080,SerializedBinary,1072503,16.36512756
H4_R0_1107,19.99255943,17173792,SerializedBinary,1073360,16.37820435
H4_R0_1108,19.98588371,17206912,SerializedBinary,1075430,16.40979004
H4_R0_1109,18.99000931,17188768,SerializedBinary,1074296,16.39248657
H4_R0_1110,21.9888382,17166320,SerializedBinary,1072893,16.37107849
H4_R0_1111,19.99518204,17107936,SerializedBinary,1069244,16.31539917
H4_R0_1112,19.93796158,16997664,SerializedBinary,1062352,16.2102356
H4_R0_1113,18.97570419,16886048,SerializedBinary,1055376,16.10379028
H4_R0_1114,18.9718895,16813504,SerializedBinary,1050842,16.03460693
H4_R0_1115,18.98762512,16795456,SerializedBinary,1049714,16.01739502
H4_R0_1116,20.01878548,16781088,SerializedBinary,1048816,16.00369263
H4_R0_1117,19.95274353,16737536,SerializedBinary,1046094,15.9621582
H4_R0_1118,19.99446678,16753360,SerializedBinary,1047083,15.97724915
H4_R0_1119,20.98581123,16735888,SerializedBinary,1045991,15.96058655
H4_R0_1120,20.02498436,16733408,SerializedBinary,1045836,15.95822144
H4_R0_1121,20.01997757,16743328,SerializedBinary,1046456,15.96768188
H4_R0_1122,20.04954147,16719792,SerializedBinary,1044985,15.94523621
H4_R0_1123,19.99112892,16719264,SerializedBinary,1044952,15.94473267
H4_R0_1124,19.95655823,16740992,SerializedBinary,1046310,15.9654541
H4_R0_1125,20.99224854,16726640,SerializedBinary,1045413,15.95176697
H4_R0_1126,21.03683281,16718480,SerializedBinary,1044903,15.94398499
H4_R0_1127,19.99303627,16712240,SerializedBinary,1044513,15.93803406
H4_R0_1128,19.96967125,16730752,SerializedBinary,1045670,15.95568848
H4_R0_1129,19.91984177,16731296,SerializedBinary,1045704,15.95620728
H4_R0_1130,20.01330185,16738192,SerializedBinary,1046135,15.96278381
H4_R0_1131,20.20499039,16738000,SerializedBinary,1046123,15.96260071
H4_R0_1132,20.9340744,16747136,SerializedBinary,1046694,15.97131348
H4_R0_1133,19.9370079,16756672,SerializedBinary,1047290,15.98040771
H4_R0_1134,19.98493004,16746880,SerializedBinary,1046678,15.97106934
H4_R0_1135,20.00328827,16752576,SerializedBinary,1047034,15.97650146
H4_R0_1136,20.48227119,16739376,SerializedBinary,1046209,15.96391296
H4_R0_1137,19.9920826,16741600,SerializedBinary,1046348,15.96603394
H4_R0_1138,23.03025055,16720352,SerializedBinary,1045020,15.94577026
H4_R0_1139,19.95727348,16741664,SerializedBinary,1046352,15.96609497
H4_R0_1140,20.96459198,16733696,SerializedBinary,1045854,15.95849609
H4_R0_1141,20.01735497,16774128,SerializedBinary,1048381,15.99705505
H4_R0_1142,19.03983879,16867600,SerializedBinary,1054223,16.0861969
H4_R0_1143,19.99446678,16934160,SerializedBinary,1058383,16.14967346
H4_R0_1144,19.97968483,17078480,SerializedBinary,1067403,16.28730774
H4_R0_1145,20.02760696,17159712,SerializedBinary,1072480,16.36477661
H4_R0_1146,18.95496178,17266608,SerializedBinary,1079161,16.46672058
H4_R0_1147,20.00328827,17324064,SerializedBinary,1082752,16.52151489
H4_R0_1148,19.9806385,17357216,SerializedBinary,1084824,16.5531311
H4_R0_1149,20.02474594,17446944,SerializedBinary,1090432,16.63870239
H4_R0_1150,19.96585655,17426864,SerializedBinary,1089177,16.61955261
H4_R0_1151,19.01909637,17454656,SerializedBinary,1090914,16.64605713
H4_R0_1152,19.9882679,17446816,SerializedBinary,1090424,16.63858032
H4_R0_1153,19.94392204,17432560,SerializedBinary,1089533,16.62498474
H4_R0_1154,20.02331543,17421584,SerializedBinary,1088847,16.61451721
H4_R0_1155,18.96545219,17425488,SerializedBinary,1089091,16.61824036
H4_R0_1156,19.98945999,17445376,SerializedBinary,1090334,16.63720703
H4_R0_1157,20.01401711,17485552,SerializedBinary,1092845,16.67552185
H4_R0_1158,19.48854256,17451248,SerializedBinary,1090701,16.64280701
H4_R0_1159,20.00781822,17398688,SerializedBinary,1087416,16.59268188
H4_R0_1160,18.96950531,17376272,SerializedBinary,1086015,16.57130432
H4_R0_1161,20.00471878,17373088,SerializedBinary,1085816,16.56826782
H4_R0_1162,19.94225311,17376624,SerializedBinary,1086037,16.57164001
H4_R0_1163,21.08070183,17377664,SerializedBinary,1086102,16.57263184
H4_R0_1164,19.99446678,17371984,SerializedBinary,1085747,16.56721497
H4_R0_1165,19.96251869,17375008,SerializedBinary,1085936,16.57009888
H4_R0_1166,22.00910378,17379712,SerializedBinary,1086230,16.57458496
H4_R0_1167,20.0190239,17340160,SerializedBinary,1083758,16.53686523
H4_R0_1168,19.96681023,17352464,SerializedBinary,1084527,16.54859924
H4_R0_1169,19.9947052,17351360,SerializedBinary,1084458,16.54754639
H4_R0_1170,20.01616287,17340960,SerializedBinary,1083808,16.53762817
H4_R0_1171,19.98516846,17349936,SerializedBinary,1084369,16.54618835
H4_R0_1172,20.01926231,17327376,SerializedBinary,1082959,16.52467346
H4_R0_1173,20.50754356,17338160,SerializedBinary,1083633,16.53495789
H4_R0_1174,20.99057961,17356592,SerializedBinary,1084785,16.55253601
H4_R0_1175,20.02069283,17324208,SerializedBinary,1082761,16.52165222
H4_R0_1176,19.95536613,17320992,SerializedBinary,1082560,16.51858521
H4_R0_1177,20.01997757,17335408,SerializedBinary,1083461,16.53233337
H4_R0_1178,20.03070641,17355760,SerializedBinary,1084733,16.55174255
H4_R0_1179,19.95727348,17358592,SerializedBinary,1084910,16.55444336
H4_R0_1180,19.96728706,17429088,SerializedBinary,1089316,16.62167358
H4_R0_1181,19.9651413,17458592,SerializedBinary,1091160,16.64981079
H4_R0_1182,20.00638771,17457936,SerializedBinary,1091119,16.64918518
H4_R0_1183,20.04024315,17484800,SerializedBinary,1092798,16.67480469
H4_R0_1184,19.02672577,17481936,SerializedBinary,1092619,16.67207336
H4_R0_1185,19.99017525,17481648,SerializedBinary,1092601,16.67179871
H4_R0_1186,20.00853348,17457760,SerializedBinary,1091108,16.64901733
H4_R0_1187,20.0280838,17491088,SerializedBinary,1093191,16.68080139
H4_R0_1188,19.98636055,17486736,SerializedBinary,1092919,16.676651
H4_R0_1189,19.99446678,17478400,SerializedBinary,1092398,16.66870117
H4_R0_1190,20.01616287,17472480,SerializedBinary,1092028,16.66305542
H4_R0_1191,20.45819092,17457344,SerializedBinary,1091082,16.64862061
H4_R0_1192,19.98755264,17454544,SerializedBinary,1090907,16.64595032
H4_R0_1193,23.9574604,17463984,SerializedBinary,1091497,16.654953
H4_R0_1194,20.02689171,17452848,SerializedBinary,1090801,16.64433289
H4_R0_1195,20.01687813,17456864,SerializedBinary,1091052,16.64816284
H4_R0_1196,20.00281143,17439936,SerializedBinary,1089994,16.63201904
H4_R0_1197,19.98898315,17432592,SerializedBinary,1089535,16.62501526
H4_R0_1198,20.00424194,17437056,SerializedBinary,1089814,16.62927246
H4_R0_1199,20.25100517,17420656,SerializedBinary,1088789,16.6136322
H4_R0_1200,19.93629265,17432896,SerializedBinary,1089554,16.62530518
H4_R0_1201,19.93390846,17439296,SerializedBinary,1089954,16.63140869
H4_R0_1202,19.96847916,17421440,SerializedBinary,1088838,16.61437988
H4_R0_1203,19.93796158,17421152,SerializedBinary,1088820,16.61410522
H4_R0_1204,20.02140808,17435024,SerializedBinary,1089687,16.62733459
H4_R0_1205,19.99398994,17414480,SerializedBinary,1088403,16.60774231
H4_R0_1206,19.99375153,17418416,SerializedBinary,1088649,16.61149597
H4_R0_1207,20.02355385,17405744,SerializedBinary,1087857,16.59941101
H4_R0_1208,20.02641487,17414960,SerializedBinary,1088433,16.60820007
H4_R0_1209,19.97992325,17414240,SerializedBinary,1088388,16.60751343
H4_R0_1210,18.93922615,17411104,SerializedBinary,1088192,16.60452271
H4_R0_1211,19.96943283,17437536,SerializedBinary,1089844,16.62973022
H4_R0_1212,19.52382851,17434608,SerializedBinary,1089661,16.62693787
H4_R0_1213,19.98969841,17434464,SerializedBinary,1089652,16.62680054
H4_R0_1214,21.02801132,17441472,SerializedBinary,1090090,16.63348389
H4_R0_1215,41.97212982,17438080,SerializedBinary,1089878,16.63024902
H4_R0_1216,39.98085785,17441440,SerializedBinary,1090088,16.63345337
H4_R0_1217,19.96108818,17435280,SerializedBinary,1089703,16.62757874
H4_R0_1218,20.05264091,17440192,SerializedBinary,1090010,16.63226318
H4_R0_1219,19.96943283,17431616,SerializedBinary,1089474,16.62408447
H4_R0_1220,23.98320961,17454640,SerializedBinary,1090913,16.64604187
H4_R0_1221,19.94511414,17436880,SerializedBinary,1089803,16.62910461
H4_R0_1222,20.03714371,17425248,SerializedBinary,1089076,16.61801147
H4_R0_1223,40.9798317,17446080,SerializedBinary,1090378,16.63787842
H4_R0_1224,19.56030655,17441712,SerializedBinary,1090105,16.63371277
H4_R0_1225,21.96380424,17444816,SerializedBinary,1090299,16.63667297
H4_R0_1226,40.98150063,17444800,SerializedBinary,1090298,16.63665771
H4_R0_1227,19.97396278,17457056,SerializedBinary,1091064,16.64834595
H4_R0_1228,41.88510704,17459744,SerializedBinary,1091232,16.65090942
H4_R0_1229,19.9639492,17479440,SerializedBinary,1092463,16.66969299
H4_R0_1230,20.9314518,17517664,SerializedBinary,1094852,16.70614624
H4_R0_1231,39.99873924,17586000,SerializedBinary,1099123,16.77131653
H4_R0_1232,20.99487114,17663616,SerializedBinary,1103974,16.84533691
H4_R0_1233,20.46796608,17618368,SerializedBinary,1101146,16.80218506
H4_R0_1234,41.04730415,17636864,SerializedBinary,1102302,16.81982422
H4_R0_1235,20.04811096,17659312,SerializedBinary,1103705,16.8412323
H4_R0_1236,41.99644852,17661408,SerializedBinary,1103836,16.8432312
H4_R0_1237,39.96536064,17612480,SerializedBinary,1100778,16.79656982
H4_R0_1238,41.9988327,17604256,SerializedBinary,1100264,16.78872681
H4_R0_1239,21.23352814,17595136,SerializedBinary,1099694,16.7800293
H4_R0_1240,20.93216705,17581632,SerializedBinary,1098850,16.76715088
H4_R0_1241,40.90830612,17575344,SerializedBinary,1098457,16.76115417
H4_R0_1242,28.48693657,17548240,SerializedBinary,1096763,16.73530579
H4_R0_1243,19.98016167,17510512,SerializedBinary,1094405,16.69932556
H4_R0_1244,21.00679207,17487264,SerializedBinary,1092952,16.67715454
H4_R0_1245,21.47838402,17476720,SerializedBinary,1092293,16.667099
H4_R0_1246,20.00948715,17464928,SerializedBinary,1091556,16.65585327
H4_R0_1247,20.06384659,17465584,SerializedBinary,1091597,16.65647888
H4_R0_1248,19.96204185,17471168,SerializedBinary,1091946,16.6618042
H4_R0_1249,20.03142166,17444496,SerializedBinary,1090279,16.6363678
H4_R0_1250,19.99685097,17433248,SerializedBinary,1089576,16.62564087
H4_R0_1251,19.99780464,17424448,SerializedBinary,1089026,16.61724854
H4_R0_1252,20.00686455,17420304,SerializedBinary,1088767,16.61329651
H4_R0_1253,20.03595161,17421568,SerializedBinary,1088846,16.61450195
H4_R0_1254,21.02276611,17396800,SerializedBinary,1087298,16.59088135
H4_R0_1255,20.00185776,17433824,SerializedBinary,1089612,16.62619019
H4_R0_1256,40.97148705,17393424,SerializedBinary,1087087,16.58766174
H4_R0_1257,19.99422836,17415712,SerializedBinary,1088480,16.60891724
H4_R0_1258,19.99542046,17359504,SerializedBinary,1084967,16.55531311
H4_R0_1259,20.99010277,17412160,SerializedBinary,1088258,16.60552979
H4_R0_1260,19.49760246,17397776,SerializedBinary,1087359,16.59181213
H4_R0_1261,20.08673477,17403024,SerializedBinary,1087687,16.59681702
H4_R0_1262,20.51326561,17412240,SerializedBinary,1088263,16.60560608
H4_R0_1263,19.99828148,17440176,SerializedBinary,1090009,16.63224792
H4_R0_1264,19.99303627,17417296,SerializedBinary,1088579,16.61042786
H4_R0_1265,19.95274353,17444208,SerializedBinary,1090261,16.63609314
H4_R0_1266,20.95982361,17401744,SerializedBinary,1087607,16.59559631
H4_R0_1267,20.9250145,17432880,SerializedBinary,1089553,16.62528992
H4_R0_1268,20.92525291,17422176,SerializedBinary,1088884,16.61508179
H4_R0_1269,23.91716766,17450704,SerializedBinary,1090667,16.64228821
H4_R0_1270,20.92525291,17437728,SerializedBinary,1089856,16.62991333
H4_R0_1271,19.9510746,17461696,SerializedBinary,1091354,16.652771
H4_R0_1272,20.9250145,17429904,SerializedBinary,1089367,16.62245178
H4_R0_1273,20.92549133,17428096,SerializedBinary,1089254,16.62072754
H4_R0_1274,19.92818642,17435904,SerializedBinary,1089742,16.62817383
H4_R0_1275,19.92818642,17459488,SerializedBinary,1091216,16.65066528
H4_R0_1276,20.92572975,17429920,SerializedBinary,1089368,16.62246704
H4_R0_1277,19.927948,17403392,SerializedBinary,1087710,16.59716797
H4_R0_1278,20.92787552,17492400,SerializedBinary,1093273,16.68205261
H4_R0_1279,19.93223953,17493824,SerializedBinary,1093362,16.68341064
H4_R0_1280,19.92818642,17399088,SerializedBinary,1087441,16.59306335
H4_R0_1281,39.875,17449296,SerializedBinary,1090579,16.64094543
H4_R0_1282,19.93557739,17421632,SerializedBinary,1088850,16.61456299
H4_R0_1283,39.89049721,17465792,SerializedBinary,1091610,16.65667725
H4_R0_1284,39.88739777,17432688,SerializedBinary,1089541,16.62510681
H4_R0_1285,18.94041824,17410160,SerializedBinary,1088133,16.60362244
H4_R0_1286,19.9343853,17414672,SerializedBinary,1088415,16.60792542
H4_R0_1287,39.89049721,17405984,SerializedBinary,1087872,16.59963989
H4_R0_1288,19.9382,17460640,SerializedBinary,1091288,16.65176392
H4_R0_1289,19.85546875,17457360,SerializedBinary,1091083,16.64863586
H4_R0_1290,20.93526649,17503296,SerializedBinary,1093954,16.69244385
H4_R0_1291,20.46129036,17451968,SerializedBinary,1090746,16.64349365
H4_R0_1292,20.93359756,17460384,SerializedBinary,1091272,16.65151978
H4_R0_1293,49.85687065,17419616,SerializedBinary,1088724,16.61264038
H4_R0_1294,19.93223953,17410896,SerializedBinary,1088179,16.60432434
H4_R0_1295,19.9112587,17451200,SerializedBinary,1090698,16.64276123
H4_R0_1296,19.93629265,17421456,SerializedBinary,1088839,16.61439514
H4_R0_1297,19.93343163,17536736,SerializedBinary,1096044,16.72433472
H4_R0_1298,19.93629265,17567392,SerializedBinary,1097960,16.75357056
H4_R0_1299,18.95591545,17526688,SerializedBinary,1095416,16.7147522
H4_R0_1300,20.44102478,17627088,SerializedBinary,1101691,16.8105011
H4_R0_1001,489.3145561,23475756,PLY ASCII (Open3D),1059810,22.38822556
H4_R0_1002,478.7533283,23522508,PLY ASCII (Open3D),1062090,22.43281174
H4_R0_1003,477.8575897,23486726,PLY ASCII (Open3D),1060464,22.39868736
H4_R0_1004,478.3637524,23510051,PLY ASCII (Open3D),1061711,22.42093182
H4_R0_1005,476.8772125,23493456,PLY ASCII (Open3D),1060934,22.40510559
H4_R0_1006,478.8575172,23505165,PLY ASCII (Open3D),1061453,22.41627216
